3.366500000000000048e-01 4.985100000000000087e-01 5.017400000000000748e-01 5.123400000000000176e-01 4.966399999999999704e-01 4.988700000000000356e-01 4.973899999999999988e-01 5.019899999999999363e-01 6.085700000000000554e-01 5.300700000000000411e-01
4.993900000000000006e-01 5.005500000000000504e-01 5.001800000000000690e-01 4.957000000000000295e-01 4.982299999999999507e-01 5.010900000000000354e-01 5.461000000000000298e-01 6.338699999999999335e-01 5.351600000000000801e-01 5.111900000000000333e-01
7.148200000000000109e-01 7.157700000000000173e-01 7.153199999999999559e-01 7.155700000000000394e-01 7.182500000000000551e-01 7.247900000000000453e-01 6.563200000000000145e-01 5.508299999999999308e-01 5.130799999999999805e-01 5.053600000000000314e-01
7.315899999999999626e-01 7.292699999999999738e-01 7.292699999999999738e-01 7.315899999999999626e-01 7.292699999999999738e-01 4.511199999999999655e-01 5.583199999999999275e-01 5.167599999999999971e-01 5.056499999999999329e-01 4.977599999999999802e-01
7.292699999999999738e-01 7.292699999999999738e-01 7.292699999999999738e-01 7.292699999999999738e-01 7.280999999999999694e-01 5.939300000000000690e-01 5.238899999999999668e-01 5.081400000000000361e-01 4.977599999999999802e-01 4.615700000000000358e-01
7.288799999999999724e-01 7.312199999999999811e-01 7.301299999999999457e-01 6.691099999999999826e-01 5.525999999999999801e-01 5.201100000000000723e-01 5.085600000000000120e-01 4.977599999999999802e-01 4.615700000000000358e-01 4.615700000000000358e-01
6.097500000000000142e-01 6.141499999999999737e-01 5.558799999999999297e-01 5.236300000000000399e-01 5.061599999999999433e-01 5.053199999999999914e-01 4.977599999999999802e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01
5.424800000000000733e-01 5.206200000000000827e-01 5.109099999999999753e-01 5.081800000000000761e-01 5.023199999999999887e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01
5.108300000000000063e-01 5.070999999999999952e-01 5.027399999999999647e-01 5.026200000000000667e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01
5.058899999999999508e-01 5.074600000000000222e-01 5.010999999999999899e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01 4.615700000000000358e-01
